"","bigram","n"
"1","collaborative research",806
"2","ci team",91
"3","collaborative proposal",64
"4","si2 ssi",55
"5","cc nie",50
"6","si2 sse",49
"7","networking infrastructure",42
"8","building blocks",41
"9","cc dni",39
"10","research si2",39
"11","team implementation",39
"12","data intensive",38
"13","implementation project",38
"14","research cyberinfrastructure",38
"15","earthcube building",36
"16","cc iie",35
"17","framework software",35
"18","eager collaborative",33
"19","data driven",31
"20","reu site",30
"21","real time",29
"22","cdi type",28
"23","mri acquisition",28
"24","research ci",28
"25","research framework",28
"26","team demonstration",28
"27","type ii",27
"28","cif21 dibbs",26
"29","network infrastructure",26
"30","data management",24
"31","blocks collaborative",23
"32","performance computing",23
"33","research community",23
"34","scalable cyberinfrastructure",23
"35","demonstration project",22
"36","cyber infrastructure",21
"37","project collaborative",21
"38","research infrastructure",21
"39","virtual organization",21
"40","research development",20
"41","campus cyberinfrastructure",19
"42","climate change",19
"43","itr collaborative",19
"44","science dmz",19
"45","collaborative project",18
"46","community driven",18
"47","nie integration",18
"48","elements software",17
"49","engineering research",17
"50","proposal earthcube",17
"51","sdci nmi",17
"52","ssi collaborative",17
"53","scientific discovery",16
"54","earthcube rcn",15
"55","electronic structure",15
"56","nie network",15
"57","nie networking",15
"58","software infrastructure",15
"59","software nsci",15
"60","computational infrastructure",14
"61","computational science",14
"62","create cyberinfrastructure",14
"63","cyber enabled",14
"64","data analysis",14
"65","data science",14
"66","earthcube ia",14
"67","messenger astrophysics",14
"68","multi messenger",14
"69","nmi improvement",14
"70","research facilities",14
"71","research nsci",14
"72","research project",14
"73","user workshop",14
"74","21st century",13
"75","community planning",13
"76","data sharing",13
"77","dmref collaborative",13
"78","earthcube domain",13
"79","ecological research",13
"80","framework data",13
"81","ia collaborative",13
"82","mri development",13
"83","planning grant",13
"84","research abi",13
"85","research developing",13
"86","research geon",13
"87","support multi",13
"88","type 2",13
"89","abi development",12
"90","change research",12
"91","cici secure",12
"92","critical zone",12
"93","digitization tcn",12
"94","dni engineer",12
"95","earth science",12
"96","earthcube integration",12
"97","national cyberinfrastructure",12
"98","nsci framework",12
"99","research cdi",12
"100","research data",12
"101","science engineering",12
"102","sustained innovation",12
"103","ab initio",11
"104","campus design",11
"105","community based",11
"106","cyberinfrastructure ci",11
"107","data services",11
"108","global change",11
"109","gravitational wave",11
"110","hazards engineering",11
"111","iie networking",11
"112","leveraging semantics",11
"113","linked data",11
"114","molecular dynamics",11
"115","natural hazards",11
"116","neotoma paleoecology",11
"117","paleoecology database",11
"118","rapid collaborative",11
"119","research eager",11
"120","research neotoma",11
"121","scientific research",11
"122","scientific software",11
"123","advanced cyberinfrastructure",10
"124","collections digitization",10
"125","computational design",10
"126","cyberinfrastructure enabled",10
"127","cybertraining ciu",10
"128","data hdr",10
"129","data visualization",10
"130","dibbs ei",10
"131","earth sciences",10
"132","information technology",10
"133","machine learning",10
"134","midwest collaborative",10
"135","research cc",10
"136","research elements",10
"137","research network",10
"138","sci cyberinfrastructure",10
"139","software development",10
"140","virtual organizations",10
"141","arthropods network",9
"142","community led",9
"143","coordination network",9
"144","cyberinfrastructure tools",9
"145","cybertraining cip",9
"146","database community",9
"147","distributed computing",9
"148","earthquake engineering",9
"149","engineering dissection",9
"150","hdr building",9
"151","hydrologic sciences",9
"152","interdisciplinary research",9
"153","led cyberinfrastructure",9
"154","molecular modeling",9
"155","molecular simulation",9
"156","national engineering",9
"157","network scan",9
"158","promote taxonomic",9
"159","research coordination",9
"160","research cybertraining",9
"161","research southwest",9
"162","river basin",9
"163","science data",9
"164","science network",9
"165","scientific collaboration",9
"166","security education",9
"167","software framework",9
"168","source software",9
"169","southwest collections",9
"170","stem education",9
"171","tcn collaborative",9
"172","team demo",9
